Academic_Year,Semester,Section_Number,Department_Program,Course_Prefix,Course_Number,Course_Title,Course,Letter_Grade,Count_of_letter_grade
,,706,Architecture,ARC, 521F,DESIGN V INTERMEDIATE,"ARC-521F: DESIGN V INTERMEDIATE, Section no. 706",A,4
,,,,,,,,B,7
,,,,,,,,Other,1
,,710,Architecture,ARC, 221K,VISUAL COMMUNICATION III-WB,"ARC-221K: VISUAL COMMUNICATION III-WB, Section no. 710",A,42
,,,,,,,,B,12
,,,,,,,,C,1
,,715,Architecture,ARC, 327C,URBAN DSGN HIST/THRY/CRIT-WB,"ARC-327C: URBAN DSGN HIST/THRY/CRIT-WB, Section no. 715",A,10
,,,,,,,,B,1
,,,,,,,,C,1
,,,,,,,,Other,6
,,780,Architecture,ARC, 334K,ENVIRONMENTAL CONTROLS I-WB,"ARC-334K: ENVIRONMENTAL CONTROLS I-WB, Section no. 780",A,20
,,,,,,,,B,2
,,785,Architecture,ARC, 435K,CONSTRUCTION III-WB,"ARC-435K: CONSTRUCTION III-WB, Section no. 785",A,23
,,,,,,,,B,3
,,790,Architecture,ARC, 435K,CONSTRUCTION III-WB,"ARC-435K: CONSTRUCTION III-WB, Section no. 790",A,18
,,,,,,,,B,3
,,796,Architecture,ARC, 335M,CONSTRUCTION V-WB,"ARC-335M: CONSTRUCTION V-WB, Section no. 796",A,19
,,,,,,,,B,7
,,,,,,,,C,1
,,,,,,,,Other,1
,,798,Architecture,ARC, 335M,CONSTRUCTION V-WB,"ARC-335M: CONSTRUCTION V-WB, Section no. 798",A,19
,,,,,,,,B,9
,,800,Architecture,ARC, 342C,MEX ARCH: PRE-COLUMB-CONTEMP,"ARC-342C: MEX ARCH: PRE-COLUMB-CONTEMP, Section no. 800",A,10
,,,,,,,,B,2
,,805,Architecture,ARC, 342E,HIST/THEORS LANDSCP ARCH I-WB,"ARC-342E: HIST/THEORS LANDSCP ARCH I-WB, Section no. 805",A,34
,,,,,,,,B,2
,,,,,,,,Other,2
,,820,Architecture,ARC, 342R,4-CENT EUR ARCH 1648-PRES-WB,"ARC-342R: 4-CENT EUR ARCH 1648-PRES-WB, Section no. 820",A,25
,,,,,,,,Other,2
,,831,Architecture,ARC, 561C,COMPREHENSIVE STUDIO-WB,"ARC-561C: COMPREHENSIVE STUDIO-WB, Section no. 831",A,12
,,,,,,,,B,8
,,832,Architecture,ARC, 561C,COMPREHENSIVE STUDIO-WB,"ARC-561C: COMPREHENSIVE STUDIO-WB, Section no. 832",A,6
,,,,,,,,B,4
,,,,,,,,Other,1
,,833,Architecture,ARC, 561C,COMPREHENSIVE STUDIO,"ARC-561C: COMPREHENSIVE STUDIO, Section no. 833",A,12
,,,,,,,,B,6
,,895,Architecture,ARC, 362,PROFESSIONAL PRACTICE-WB,"ARC-362: PROFESSIONAL PRACTICE-WB, Section no. 895",A,30
,,,,,,,,B,5
,,930,Architecture,ARC, 381T,TECHNICAL COMMUNICATION,"ARC-381T: TECHNICAL COMMUNICATION, Section no. 930",A,6
,,,,,,,,B,2
,,931,Architecture,ARC, 381T,TECHNICAL COMMUNICATION-WB,"ARC-381T: TECHNICAL COMMUNICATION-WB, Section no. 931",A,7
,,,,,,,,B,2
,,935,Architecture,ARC, 382,PROFESSIONAL PRACTICE-WB,"ARC-382: PROFESSIONAL PRACTICE-WB, Section no. 935",A,22
,,,,,,,,B,4
,,950,Architecture,ARC, 385T,CONSTRUCTION,"ARC-385T: CONSTRUCTION, Section no. 950",A,10
,,,,,,,,B,4
,,951,Architecture,ARC, 385T,CONSTRUCTION-WB,"ARC-385T: CONSTRUCTION-WB, Section no. 951",A,6
,,,,,,,,B,4
,,965,Architecture,ARC, 385T,STRUCTURES I-WB,"ARC-385T: STRUCTURES I-WB, Section no. 965",A,7
,,,,,,,,B,3
,,970,Architecture,ARC, 386M,ARCH THRY: CONTEMP ISSUES-WB,"ARC-386M: ARCH THRY: CONTEMP ISSUES-WB, Section no. 970",A,12
,,,,,,,,B,3
,,,,,,,,Other,1
,,975,Architecture,ARC, 386M,ARCH THRY: CONTEMP ISSUES-WB,"ARC-386M: ARCH THRY: CONTEMP ISSUES-WB, Section no. 975",A,2
,,,,,,,,B,8
,,,,,,,,C,3
,,,,,,,,F,1
,,980,Architecture,ARC, 386M,ARCH THRY: CONTEMPORARY ISSUES,"ARC-386M: ARCH THRY: CONTEMPORARY ISSUES, Section no. 980",A,15
,,,,,,,,B,3
,,986,Architecture,ARC, 386M,ARCH THRY: HISTRCL OVERVIEW-WB,"ARC-386M: ARCH THRY: HISTRCL OVERVIEW-WB, Section no. 986",A,3
,,,,,,,,B,1
,,,,,,,,D,1
,,1045,Architecture,ARC, 386M,11-ENERGY MODELNG/DSGN PROC-WB,"ARC-386M: 11-ENERGY MODELNG/DSGN PROC-WB, Section no. 1045",A,11
,,,,,,,,B,3
,,,,,,,,Other,2
,,1061,Architecture,ARC, 387G,WORLD ARCH: INDUS REV-PRSNT-WB,"ARC-387G: WORLD ARCH: INDUS REV-PRSNT-WB, Section no. 1061",A,11
,,,,,,,,B,2
,,,,,,,,Other,1
,,1090,Architecture,ARC, 388R,18-PRESERVATION PLANNING/PRACT,"ARC-388R: 18-PRESERVATION PLANNING/PRACT, Section no. 1090",A,2
,,,,,,,,B,2
,,,,,,,,C,1
,,1135,Architecture,ARC, 392W,WOOD DESIGN,"ARC-392W: WOOD DESIGN, Section no. 1135",A,3
,,,,,,,,B,1
,,,,,,,,Other,1
,,1155,Architecture,ARC, 694,ARCH DSIGN: VERTICAL STUDIO-WB,"ARC-694: ARCH DSIGN: VERTICAL STUDIO-WB, Section no. 1155",A,9
,,,,,,,,B,3
,,1160,Architecture,ARC, 694,ARCH DESIGN: VERTICAL STUDIO,"ARC-694: ARCH DESIGN: VERTICAL STUDIO, Section no. 1160",A,8
,,,,,,,,B,3
,,1170,Architecture,ARC, 694,ARCH DESIGN: VERTICAL STUDIO,"ARC-694: ARCH DESIGN: VERTICAL STUDIO, Section no. 1170",A,8
,,,,,,,,B,3
,,1171,Architecture,ARC, 694,ARCH DESIGN: VERTICAL STUDIO,"ARC-694: ARCH DESIGN: VERTICAL STUDIO, Section no. 1171",A,7
,,,,,,,,B,2
,,1186,Architecture,ARC, 695S,ADV ARCH DESIGN: INT STUDIO-WB,"ARC-695S: ADV ARCH DESIGN: INT STUDIO-WB, Section no. 1186",A,5
,,,,,,,,B,2
,,1195,Architecture,ARC, 696,ADV ARCH DESIGN-WB,"ARC-696: ADV ARCH DESIGN-WB, Section no. 1195",A,7
,,,,,,,,B,3
,,1350,Community And Regional Planning,CRP, 380F,3-PUBLIC ECONOMICS/FINANCE,"CRP-380F: 3-PUBLIC ECONOMICS/FINANCE, Section no. 1350",A,10
,,,,,,,,B,4
,,,,,,,,Other,1
,,1355,Community And Regional Planning,CRP, 380F,3-PUBLIC ECONOMICS/FINANCE,"CRP-380F: 3-PUBLIC ECONOMICS/FINANCE, Section no. 1355",A,5
,,,,,,,,B,2
,,1356,Community And Regional Planning,CRP, 380F,3-PUBLIC ECONOMICS/FINANCE-WB,"CRP-380F: 3-PUBLIC ECONOMICS/FINANCE-WB, Section no. 1356",A,4
,,,,,,,,B,2
,,1390,Community And Regional Planning,CRP, 386,ART OF COMMUNITY ENGAGEMENT-WB,"CRP-386: ART OF COMMUNITY ENGAGEMENT-WB, Section no. 1390",A,7
,,,,,,,,B,2
,,,,,,,,Other,2
,,1410,Community And Regional Planning,CRP, 386,6-INTRO VISUAL COMM AND GIS,"CRP-386: 6-INTRO VISUAL COMM AND GIS, Section no. 1410",A,12
,,,,,,,,B,3
,,1418,Community And Regional Planning,CRP, 386,6-INTRO VISUAL COMM AND GIS-WB,"CRP-386: 6-INTRO VISUAL COMM AND GIS-WB, Section no. 1418",A,6
,,,,,,,,B,3
,,1570,Landscape Architecture,LAR, 381,VISUAL COMMUNICATION I,"LAR-381: VISUAL COMMUNICATION I, Section no. 1570",A,9
,,,,,,,,B,5
,,1585,Landscape Architecture,LAR, 383,LNDSCP ARCH DSGN STUDIO I,"LAR-383: LNDSCP ARCH DSGN STUDIO I, Section no. 1585",A,11
,,,,,,,,B,4
,,1600,Landscape Architecture,LAR, 385K,TECHNOLOGY WORKSHOP I,"LAR-385K: TECHNOLOGY WORKSHOP I, Section no. 1600",A,10
,,,,,,,,B,5
,,1610,Landscape Architecture,LAR, 387K,LIVING SYSTEMS DESIGN I,"LAR-387K: LIVING SYSTEMS DESIGN I, Section no. 1610",A,7
,,,,,,,,B,8
,,1615,Landscape Architecture,LAR, 387L,LIVING SYSTEMS DESIGN II-WB,"LAR-387L: LIVING SYSTEMS DESIGN II-WB, Section no. 1615",A,9
,,,,,,,,B,3
,,1650,Landscape Architecture,LAR, 694T,LNDSCP ARCH DSGN STUDIO III,"LAR-694T: LNDSCP ARCH DSGN STUDIO III, Section no. 1650",A,7
,,,,,,,,B,3
,,1725,Business Administration,B A, 101T,PROF DEVLOP/CAREER PLANNING-WB,"B A-101T: PROF DEVLOP/CAREER PLANNING-WB, Section no. 1725",A,73
,,,,,,,,B,13
,,,,,,,,C,2
,,,,,,,,Other,2
,,1730,Business Administration,B A, 101T,PROF DEVLOP/CAREER PLANNING-WB,"B A-101T: PROF DEVLOP/CAREER PLANNING-WB, Section no. 1730",A,94
,,,,,,,,B,1
,,,,,,,,Other,1
,,1734,Business Administration,B A, 101T,PROF DEVLOP/CAREER PLANNING-WB,"B A-101T: PROF DEVLOP/CAREER PLANNING-WB, Section no. 1734",A,89
,,,,,,,,B,3
,,,,,,,,C,6
,,1745,Business Administration,B A, 324,BUSN COMM: ORAL AND WRITTEN-WB,"B A-324: BUSN COMM: ORAL AND WRITTEN-WB, Section no. 1745",A,37
,,,,,,,,B,9
,,,,,,,,C,1
,,,,,,,,Other,1
,,1760,Business Administration,B A, 324,BUSN COMM: ORAL AND WRITTEN-WB,"B A-324: BUSN COMM: ORAL AND WRITTEN-WB, Section no. 1760",A,32
,,,,,,,,B,18
,,,,,,,,Other,2
,,1765,Business Administration,B A, 324,BUSN COMM: ORAL AND WRITTEN-WB,"B A-324: BUSN COMM: ORAL AND WRITTEN-WB, Section no. 1765",A,5
,,,,,,,,B,13
,,,,,,,,C,3
,,1770,Business Administration,B A, 324,BUSN COMM: ORAL AND WRITTEN-WB,"B A-324: BUSN COMM: ORAL AND WRITTEN-WB, Section no. 1770",A,16
,,,,,,,,B,10
,,,,,,,,C,1
,,,,,,,,D,1
,,,,,,,,F,1
,,1775,Business Administration,B A, 324,BUSN COMM: ORAL AND WRITTEN-WB,"B A-324: BUSN COMM: ORAL AND WRITTEN-WB, Section no. 1775",A,33
,,,,,,,,B,16
,,,,,,,,C,1
,,1780,Business Administration,B A, 324,BUSN COMM: ORAL AND WRITTEN-WB,"B A-324: BUSN COMM: ORAL AND WRITTEN-WB, Section no. 1780",A,30
,,,,,,,,B,4
,,,,,,,,C,2
,,,,,,,,Other,1
,,1785,Business Administration,B A, 324,BUSN COMM: ORAL AND WRITTEN-WB,"B A-324: BUSN COMM: ORAL AND WRITTEN-WB, Section no. 1785",A,45
,,,,,,,,B,6
,,1790,Business Administration,B A, 324,BUSN COMM: ORAL AND WRITTEN-WB,"B A-324: BUSN COMM: ORAL AND WRITTEN-WB, Section no. 1790",A,27
,,,,,,,,B,4
,,,,,,,,Other,2
,,1795,Business Administration,B A, 324,BUSN COMM: ORAL AND WRITTEN-WB,"B A-324: BUSN COMM: ORAL AND WRITTEN-WB, Section no. 1795",A,15
,,,,,,,,B,16
,,,,,,,,C,1
,,1800,Business Administration,B A, 324,BUSN COMM: ORAL AND WRITTEN-WB,"B A-324: BUSN COMM: ORAL AND WRITTEN-WB, Section no. 1800",A,41
,,,,,,,,B,10
,,,,,,,,D,1
,,1805,Business Administration,B A, 324,BUSN COMM: ORAL AND WRITTEN-WB,"B A-324: BUSN COMM: ORAL AND WRITTEN-WB, Section no. 1805",A,14
,,,,,,,,B,32
,,,,,,,,D,2
,,,,,,,,Other,1
,,1810,Business Administration,B A, 324,BUSN COMM: ORAL AND WRITTEN-WB,"B A-324: BUSN COMM: ORAL AND WRITTEN-WB, Section no. 1810",A,48
,,,,,,,,B,2
,,1815,Business Administration,B A, 324,BUSN COMM: ORAL AND WRITTEN-WB,"B A-324: BUSN COMM: ORAL AND WRITTEN-WB, Section no. 1815",A,36
,,,,,,,,B,2
,,1820,Business Administration,B A, 324,BUSN COMM: ORAL AND WRITTEN-WB,"B A-324: BUSN COMM: ORAL AND WRITTEN-WB, Section no. 1820",A,38
,,,,,,,,B,11
,,1825,Business Administration,B A, 324,BUSN COMM: ORAL AND WRITTEN-WB,"B A-324: BUSN COMM: ORAL AND WRITTEN-WB, Section no. 1825",A,47
,,,,,,,,B,1
,,,,,,,,Other,2
,,1830,Business Administration,B A, 324,BUSN COMM: ORAL AND WRITTEN-WB,"B A-324: BUSN COMM: ORAL AND WRITTEN-WB, Section no. 1830",A,35
,,,,,,,,B,2
,,,,,,,,Other,2
,,1885,Business Administration,B A, 280N,OPERATIONS MANAGEMENT-I,"B A-280N: OPERATIONS MANAGEMENT-I, Section no. 1885",A,23
,,,,,,,,B,32
,,,,,,,,Other,3
,,1890,Business Administration,B A, 280N,OPERATIONS MANAGEMENT-II,"B A-280N: OPERATIONS MANAGEMENT-II, Section no. 1890",A,24
,,,,,,,,B,28
,,,,,,,,Other,4
,,1895,Business Administration,B A, 280N,OPERATIONS MANAGEMENT-III,"B A-280N: OPERATIONS MANAGEMENT-III, Section no. 1895",A,22
,,,,,,,,B,29
,,,,,,,,C,1
,,,,,,,,Other,5
,,1900,Business Administration,B A, 280N,OPERATIONS MANAGEMENT-IV,"B A-280N: OPERATIONS MANAGEMENT-IV, Section no. 1900",A,27
,,,,,,,,B,28
,,,,,,,,Other,2
,,1905,Business Administration,B A, 380N,OPERATIONS MANAGEMENT-EMBA,"B A-380N: OPERATIONS MANAGEMENT-EMBA, Section no. 1905",A,19
,,,,,,,,B,17
,,,,,,,,C,5
,,1910,Business Administration,B A, 280S,MANAGERIAL MICROECONOMICS-I,"B A-280S: MANAGERIAL MICROECONOMICS-I, Section no. 1910",A,27
,,,,,,,,B,31
,,1915,Business Administration,B A, 280S,MANAGERIAL MICROECONOMICS-II,"B A-280S: MANAGERIAL MICROECONOMICS-II, Section no. 1915",A,25
,,,,,,,,B,31
,,1920,Business Administration,B A, 280S,MANAGERIAL MICROECONOMICS-III,"B A-280S: MANAGERIAL MICROECONOMICS-III, Section no. 1920",A,28
,,,,,,,,B,29
,,1925,Business Administration,B A, 280S,MANAGERIAL MICROECONOMICS-IV,"B A-280S: MANAGERIAL MICROECONOMICS-IV, Section no. 1925",A,20
,,,,,,,,B,36
,,,,,,,,C,1
,,1930,Business Administration,B A, 380S,MANAGERIAL ECONOMICS-MSF,"B A-380S: MANAGERIAL ECONOMICS-MSF, Section no. 1930",A,47
,,,,,,,,B,30
,,1955,Business Administration,B A, 281T,MARKETING MANAGEMENT-I,"B A-281T: MARKETING MANAGEMENT-I, Section no. 1955",A,20
,,,,,,,,B,34
